LOC,Business,Phone,Address,Town,Website,Instagram,Facebook,Category,SuperCat,DL Info,HDL?,Shoppers Discount,Exp.,Changed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11D,Long Island Bagel Cafe,516-678-7070,3452 Long Beach Rd.,Oceanside,LIBC.com,,,Eat & Drink,Eat & Drink,"Whether you’re having a Birthday, Anniversary, Bat/Bar Mitzvah, Sweet Sixteen or Any Event, in your home or office, Long Island Bagel Cafe will provide the finest and freshest foods.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12T,J. Paul's Terrace Cafe,516-536-1806,239 Merrick Rd.,Oceanside,JPaulsOceanside.com,instagram.com/j.paulsterracecafe,,Eat & Drink,Eat & Drink,"The ideal place to eat, drink and enjoy good times. 75 seat dining room and remodeled sports bar featuring 14 flat screen TVs + FAST TRACK OTB horse wagering system. Serving Oceanside for 43 years.",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13T,SVS Fine Jewelry,516-766-2614,3323 Long Beach Rd.,Oceanside,SVSFineJewelry.com,,,Shop & Discover,Shop & Discover,"Long Island’s top-rated jewelry store offers engagement rings, diamonds, custom designs, estate jewelry purchasing, and gold buying with exceptional craftsmanship and trusted service.",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14D,Ritz Jewelry,516-255-0465,3547 Long Beach Rd.,Oceanside,RitzJewelryInc.com,instagram.com/ritz_jewelry,,Shop & Discover,Shop & Discover,"Locally owned and operated with over 20 years of experience in the diamond and jewelry industry. Specialize in 14K, 18K and platinum jewelry. Watch and jewelry repair..",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16D,National Metal Industries,516-594-0364,2 Neil Ct.,Oceanside,NMIFence.com,,,Live & Work,Live & Work,"Your trusted supplier for superior fencing products, expert support, and local or national delivery to meet all your fencing project needs. Trusted, family-owned supplier since 1950 with decades of expertise.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17D,Club Pilates Oceanside,516-280-1515,3197 Long Beach Rd.,Oceanside,ClubPilates.com/Oceanside,,facebook.com/clubpilatesoceanside,Thrive & Be Well,Thrive & Be Well,"Award-winning boutique fitness studio providing reformer-based, full body Pilates workouts for everyBODY. Increase mobility, balance and strength with our group classes and private training! 80+ classes/week!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18D,Serafina’s Beauty Bar,516-536-5925,3257 Long Beach Rd.,Oceanside,SerafinasBeautyBar.com,,,Thrive & Be Well,Thrive & Be Well,"A family-friendly atmosphere, hair & more salon that welcomes everyone. Helping our guests feel beautiful inside & out through great experiences, tradition, and technique.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19S,Mr. Rim Repair & Auto Concepts,516-517-2086,3256 Long Beach Rd.,Oceanside,instagram.com/mr_rim_repair,instagram.com/mr_rim_repair,,Live & Work,Live & Work,Restoring your wheels to their best. Giving your ride its sparkle back!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20S,Concept Fitness,516-592-1456,7 Hampton Rd.,Oceanside,ConceptFitnessNY.com,,,Thrive & Be Well,Thrive & Be Well,"A premier waterfront training facility offering strength and conditioning, college rowing development, and recovery services like sauna, cold plunge, and infrared therapy.",,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21T,Charlie's Butcher,516-632-5693,11 Brower Ave.,Oceanside,CharliesButchers.com,,,Shop & Discover,Shop & Discover,We're more than just a butcher – our customers are our top priority! Come and savor our top-quality meats. Fueled by our owner Denise's passion for quality and service.,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22T,Guardian Bus,516-723-3287,3530 Oceanside Rd.,Oceanside,GuardianBus.com,,,Live & Work,Live & Work,"Here for all your transportation needs—weddings, events, and more. Reliable, comfortable, and professional service you can count on every time.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23D,New York House Inspectors,516-551-2422,,Oceanside,NewYorkHouseInspectors.com,,,Live & Work,Live & Work,"Family owned and operated home, mold, termite and asbestos inspections. Same day service and reports.",,,,Y,,,,,,,,,Tyler,Triple,Triple Plus - Map Edge Ad,NEW,Gary Nadler DDS P.C.,516-763-5683,"Gary Nadler, DDS",129 Davison Ave.,Oceanside,11572,caton1@aol.com,,instagram.com/,facebook.com/,516-448-1582,Yes,Dentist,New,Building,"Phone,Address","Building with sign; MapToons to design premium ad with name, ""Family Dentistry & Invisalign"", phone number, address. Reference photo of sign if helpful.",,Use 2008 but please review for accuracy,Yes,,,,,,,,,,,,,,,,,,,,,,,,Tyler,Triple,Triple Plus - Map Edge Ad,NEW,Gary Nadler DDS P.C.,516-763-5683,"Gary Nadler, DDS",129 Davison Ave.,Oceanside,11572,caton1@aol.com,,instagram.com/,facebook.com/,516-448-1582,Yes,Dentist,New,Building,"Phone,Address","Building with sign; MapToons to design premium ad with name, ""Family Dentistry & Invisalign"", phone number, address. Reference photo of sign if helpful.",,Use 2008 but please review for accuracy,Yes,,,,,,,,,,,,,,,,,,,,,,,,Tyler,Triple,Triple Plus - Map Edge Ad,NEW,Gary Nadler DDS P.C.,516-763-5683,"Gary Nadler, DDS",129 Davison Ave.,Oceanside,11572,caton1@aol.com,,instagram.com/,facebook.com/,516-448-1582,Yes,Dentist,New,Building,"Phone,Address","Building with sign; MapToons to design premium ad with name, ""Family Dentistry & Invisalign"", phone number, address. Reference photo of sign if helpful.",,Use 2008 but please review for accuracy,Yes,,,,,,,,,,,,,,,,,,,,,,,,Tyler,Triple,Triple Plus - Map Edge Ad,NEW,Gary Nadler DDS P.C.,516-763-5683,"Gary Nadler, DDS",129 Davison Ave.,Oceanside,11572,caton1@aol.com,,instagram.com/,facebook.com/,516-448-1582,Yes,Dentist,New,Building,"Phone,Address","Building with sign; MapToons to design premium ad with name, ""Family Dentistry & Invisalign"", phone number, address. Reference photo of sign if helpful.",,Use 2008 but please review for accuracy,Yes
24D,Levin's Pharmacy,516-766-2288,364 Long Beach Rd.,Oceanside,LevinsPharmacy.com,,,Shop & Discover,Shop & Discover,"Traditional, old fashioned service is our motto. Each customer receives personal attention and prescriptions are promptly filled. Large selection of products, free local delivery! Since 1922.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25T,PiiL Fence Company,516-594-1550,3572A Hampton Rd.,Oceanside,PiiLFence.com,,,Live & Work,Live & Work,"Serving Oceanside for over 25 years. Fully licensed and insured, providing excellent products and professional installations of all types of residential and commercial fencing.",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26D,Empire Car Wash Group of Oceanside,516-536-2827,210 Atlantic Ave.,Oceanside,EmpireCarWashGroup.com,instagram.com/oceansideautowash,facebook.com/,Live & Work,Live & Work,Full service car wash membership packages - never be stuck driving a dirty car! Expert array of detailing services. Serving communities across Long Island.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27T,Emile’s Candies,516-766-4402,229 Merrick Rd.,Oceanside,EmilesCandies.com,,,Shop & Discover,Shop & Discover,One of Long Island’s favorite chocolatiers since 1953. Our gourmet chocolates are hand-crafted on the premises still using our founder Emile’s original recipes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28D,Bright Star Academy,516-766-5699,3050 Oceanside Rd.,Oceanside,BrightStarSchoolandCamp.com,instagram.com/wearebrightstaracademy,facebook.com/,Learn & Play,Learn & Play,"We truly live by our motto: “…every child is a BRIGHT STAR on the horizon of tomorrow.” Offering children a place to grow, flourish and develop new skills! ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29T,JC Automotive of Oceanside,516-766-4411,2700 Long Beach Rd.,Oceanside,,,,Live & Work,Live & Work,"Open Mon-Fri at 7am with prompt, reliable, friendly service. Serving Oceanside for 35 years.",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30T,A&S Fine Foods,516-764-4606,3382 Long Beach Rd.,Oceanside,ASOceanside.com,,,Shop & Discover,Shop & Discover,Serving the Oceanside community for over 20 years with the great customer service in a gourmet Italian marketplace. Family-owned and operated. Visit our other location at 216 Sunrise Hwy in Rockville Centre.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31T,Pastosa Ravioli,516-255-0341,2858 Lower Lincoln Ave.,Oceanside,Pastosa.com,,,Shop & Discover,Shop & Discover,"Specializing in freshly made ravioli, manicotti, stuffed shells, fresh pasta, tortellini, cavatelli, sauces and more. Open 7 days.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32T,Temptations…FOR HER,516-678-1150,3175 Long Beach Rd.,Oceanside,TemptationsForHer.com,,,Shop & Discover,Shop & Discover,"Women’s sportswear & accessories - style , selection and personal service since 1985.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33T,Keller Williams Elite - Katherine Giordano,516-902-7388,,Oceanside,,,,Live & Work,Live & Work,"Real Estate Experience, Real Expertise. 4 reasons why my clients hire me and send me referrals: 1. Pricing Mastery, 2. Negotiation Skills, 3. Ongoing Communication, 4. Area Expertise.",Yes,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34T,John & Barbara Gandolfo - The Gandolfo Team @ Coldwell Banker American Homes,516-779-8423,493 Atlantic Ave.,Oceanside,JohnGandolfoHomes.com,,,Live & Work,Live & Work,With over $1 Billion dollars in career sales and over 1000 Homes Sold to Date. Ranked top 1% in Coldwell Banker.,Yes,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36D,Coldwell Banker - American Homes,516-223-2525,493 Atlantic Ave.,Oceanside,CBAMHomes.com,,,Live & Work,Live & Work,"One of the fastest growing real estate firms serving LI. Agents and offices servicing Nassau, Suffolk, Queens, and Kings (Brooklyn) counties. Uniquely positioned to help both buyers and sellers with their real estate needs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37D,pure barre,516-766-0465,3575 Long Beach Rd.,Oceanside,purebarre.com/Location/Oceanside-NY,instagram.com/purebarreoceanside,facebook.com/purebarreoceanside,Thrive & Be Well,Thrive & Be Well,"Pure Barre is a full-body workout that transforms you physically & mentally. Strengthen & tone your body with our 4 class formats, in a safe, low-impact manner through controlled, purposeful movements.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38T,Anthony Giordano,516-851-9013,,Oceanside,instagram.com/the_real_estate_law,instagram.com/the_real_estate_law,,Live & Work,Live & Work,"A full service real estate law firm that specializes in representing Buyers, Sellers, and Lenders and residential and commercial real estate transactions. We represent clients all over New York.  ",Yes,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39D,Ralph's Italian Ices,516-678-3101,242 Merrick Rd.,Oceanside,RalphsIces.com,,,Eat & Drink,Eat & Drink,"Since 1928 Ralph's has been making the best Italian Ices in New York. We use only the finest natural ingredients in our Ices, sherbets, ice cream, custard, smoothies, sugar-free Ices, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40T,Anna Forte - Douglas Elliman,347-860-3585,450 Sunrise Hwy.,Rockville Centre,Elliman.com/agent/Anna-Forte/1024720,instagram.com/annaforterealtor,,Live & Work,Live & Work,Anna's readiness to help and positivity will put your real estate worries to rest. Recipient of the Leading Edge Award and Long Island Board Of Realtors Top 20 Under 40!,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41D,Next Level Signs,516-834-1999,104 Foxhurst Rd.,Oceanside,NxtLevelSigns.net,,,Live & Work,Live & Work,"A family owned and operated sign business. No sign too small or too big. Let's get your message out there. From t-shirts to car wraps, your NEXT step to success.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42D,Andrew Mallor: Allstate Insurance,516-594-3400,427 Merrick Rd.,Oceanside,Agents.Allstate.com/andrew-mallor-oceanside-ny.html,,,Live & Work,Live & Work,"Born & raised in Oceanside, it's been a great opportunity to serve the community for 15+ years. I love being the person that customers turn to for any problems or claims.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43T,Home Appliance,516-678-1190,3050 Long Beach Rd.,Oceanside,LIHomeAppliance.com,,,Shop & Discover,Shop & Discover,"Since 1987, one of Long Island's largest independent family-owned retailers. Our unparalleled customer service and expert staff make appliance shopping enjoyable and easy.",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
